https://github.com/danfickle/openhtmltopdf,openhtmltopdf,openhtmltopdf,4a0612fab7b3a55e3e11d485233b063006d03b0f,com.openhtmltopdf.slf4j.Slf4JLoggerTest.testLoggerWarnLevel,openhtmltopdf-slf4j,OD,,,,com.openhtmltopdf.slf4j.Slf4JLoggerTest.testLogger,projects/4a0612fab7b3a55e3e11d485233b063006d03b0f/openhtmltopdf/openhtmltopdf-slf4j/src/test/java/com/openhtmltopdf/slf4j/Slf4JLoggerTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/apache/shardingsphere-elasticjob,shardingsphere-elasticjob,shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertRemoveLocalInstancePath,elastic-job-lite-core,OD-Vic,Accepted,https://github.com/apache/shardingsphere-elasticjob/pull/592,,io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertIsShutdownAlready,projects/b022898ef1b8c984e17efb2a422ee45f6b13e46e/shardingsphere-elasticjob/elastic-job-lite-core/src/test/java/io/elasticjob/lite/internal/instance/ShutdownListenerManagerTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/jenkinsci/remoting,remoting,remoting,abf0455a68ad6c52a57e912bb89d51f883f77542,hudson.remoting.DefaultClassFilterTest.testDefaultsAreUsedIfOverridesAreGarbage,.,OD,,,https://github.com/TestingResearchIllinois/flaky-test-dataset/issues/82,hudson.remoting.DefaultClassFilterTest.testDefaultsNoOverride,projects/abf0455a68ad6c52a57e912bb89d51f883f77542/remoting/src/test/java/hudson/remoting/DefaultClassFilterTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/jenkinsci/remoting,remoting,remoting,abf0455a68ad6c52a57e912bb89d51f883f77542,hudson.remoting.DefaultClassFilterTest.testDefaultsAreUsedIfOverridesAreGarbage,.,OD,,,https://github.com/TestingResearchIllinois/flaky-test-dataset/issues/82,hudson.remoting.DefaultClassFilterTest.testDefaultsOverrideExists,projects/abf0455a68ad6c52a57e912bb89d51f883f77542/remoting/src/test/java/hudson/remoting/DefaultClassFilterTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/kevinsawicki/http-request,http-request,http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,lib,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,com.github.kevinsawicki.http.HttpRequestTest.basicProxyAuthentication,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/kevinsawicki/http-request,http-request,http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,lib,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedMappedQueryParams,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/kevinsawicki/http-request,http-request,http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,lib,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedVarargsQueryParams,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/kevinsawicki/http-request,http-request,http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,lib,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,com.github.kevinsawicki.http.HttpRequestTest.deleteWithMappedQueryParams,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/kevinsawicki/http-request,http-request,http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,lib,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,com.github.kevinsawicki.http.HttpRequestTest.deleteWithVarargsQueryParams,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/kevinsawicki/http-request,http-request,http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,lib,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithPercent,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
https://github.com/kevinsawicki/http-request,http-request,http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,lib,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithSpace,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,"['0:', TypeError(""'NoneType' object is not subscriptable"")]"
