https://github.com/undertow-io/undertow,d0efffad5d2034bb07525cac9b299dac72c3045d,websockets-jsr,io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testCloseReason,io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testErrorHandling,OD-Vic,Accepted,https://github.com/undertow-io/undertow/pull/684,,projects/d0efffad5d2034bb07525cac9b299dac72c3045d/undertow/websockets-jsr/src/test/java/io/undertow/websockets/jsr/test/annotated/AnnotatedEndpointTest.java,projects/d0efffad5d2034bb07525cac9b299dac72c3045d/undertow/websockets-jsr/src/test/java/io/undertow/websockets/jsr/test/annotated/AnnotatedEndpointTest.java,"{'1': {'answer': 'True', 'patch_path': '/home/azureuser/flaky/OD80/f3bd4f58b5d88d3d57944602b6bd539e757fe21c/goodPatches/undertow/d0efffad5d2034bb07525cac9b299dac72c3045d/websockets-jsr/io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testCloseReason/2.patch', 'res': ""['0:test failures', '1:test failures', '2:test pass', 'summary:good fix']"", 'log_path': '/home/azureuser/flaky/ood/OD80/f3bd4f58b5d88d3d57944602b6bd539e757fe21c/summaryRes.csv'}, '2': {}}"
https://github.com/vaadin/flow,26aacd3cdf51c7e0a18ae21318d366ce7f91be8a,flow-polymer-template,com.vaadin.flow.component.polymertemplate.NpmTemplateParserTest.should_FindCorrectDataInStats,com.vaadin.flow.component.polymertemplate.NpmTemplateParserTest.hierarchicalTemplate_templateHasChild_childHasCorrectPosition,OD,,,https://github.com/TestingResearchIllinois/flaky-test-dataset/issues/41,projects/26aacd3cdf51c7e0a18ae21318d366ce7f91be8a/flow/flow-polymer-template/src/test/java/com/vaadin/flow/component/polymertemplate/NpmTemplateParserTest.java,projects/26aacd3cdf51c7e0a18ae21318d366ce7f91be8a/flow/flow-polymer-template/src/test/java/com/vaadin/flow/component/polymertemplate/NpmTemplateParserTest.java,"{'1': {'answer': 'True', 'patch_path': '', 'res': ""['0:test failures', '1:test failures', '2:COMPILATION ERROR', '3:COMPILATION ERROR', '4:COMPILATION ERROR', '5:COMPILATION ERROR', 'summary:test_failures']"", 'log_path': '/home/azureuser/flaky/ood/OD80/bc19f00b1b314c3bb02810f4338e1f98dacbfa35/summaryRes.csv'}, '2': {'answer': 'True', 'patch_path': '', 'res': ""['0:test failures', '1:test failures', '2:test failures', '3:test failures', '4:COMPILATION ERROR', '5:test failures', 'summary:test_failures']"", 'log_path': '/home/azureuser/flaky/ood/OD80/f3bd4f58b5d88d3d57944602b6bd539e757fe21c/summaryRes.csv'}}"
https://github.com/winder/Universal-G-Code-Sender,4426f71c900ddd4a1eeb3957f3275cedc6312534,ugs-platform/ugs-platform-plugin-cloud-storage,com.willwinder.ugs.nbp.S3FileSystemViewTest.testGetFiles,com.willwinder.ugs.nbp.S3FileSystemViewTest.testUploadDownloadFile,OD,,,https://github.com/TestingResearchIllinois/flaky-test-dataset/issues/87,projects/4426f71c900ddd4a1eeb3957f3275cedc6312534/Universal-G-Code-Sender/ugs-platform/ugs-platform-plugin-cloud-storage/src/test/java/com/willwinder/ugs/nbp/S3FileSystemViewTest.java,projects/4426f71c900ddd4a1eeb3957f3275cedc6312534/Universal-G-Code-Sender/ugs-platform/ugs-platform-plugin-cloud-storage/src/test/java/com/willwinder/ugs/nbp/S3FileSystemViewTest.java,"{'1': {'answer': 'True', 'patch_path': '', 'res': ""['0:test failures', '1:COMPILATION ERROR', '2:COMPILATION ERROR', '3:COMPILATION ERROR', '4:BUILD FAILURE', '5:test failures', 'summary:test_failures']"", 'log_path': '/home/azureuser/flaky/ood/ODx2/f29bd8a2980e0182135739bff87cfaa7a52a6a84/summaryRes.csv'}, '2': {'answer': 'True', 'patch_path': '/home/azureuser/flaky/ODx3/ee32a15802fdebac64d155ee962cdf93d22899e0/goodPatches/Universal-G-Code-Sender/4426f71c900ddd4a1eeb3957f3275cedc6312534/ugs-platform/ugs-platform-plugin-cloud-storage/com.willwinder.ugs.nbp.S3FileSystemViewTest.testGetFiles/1.patch', 'res': ""['0:test failures', '1:test pass', 'summary:good fix']"", 'log_path': '/home/azureuser/flaky/ood/ODx3/ee32a15802fdebac64d155ee962cdf93d22899e0/summaryRes.csv'}}"
https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,lib,com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,"{summary:good fix,""validation""}"
https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,lib,com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,"{summary:good fix,""validation""}"
https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,lib,com.github.kevinsawicki.http.HttpRequestTest.putWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,"{summary:good fix,""validation""}"
https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,lib,com.github.kevinsawicki.http.HttpRequestTest.putWithVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,"{summary:good fix,""validation""}"
https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,lib,com.github.kevinsawicki.http.HttpRequestTest.singleSslSocketFactory,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,"{summary:good fix,""validation""}"
https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,lib,com.github.kevinsawicki.http.HttpRequestTest.singleVerifier,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,OD-Vic,Opened,https://github.com/kevinsawicki/http-request/pull/151,,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,projects/2d62a3e9da726942a93cf16b6e91c0187e6c0136/http-request/lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,"{summary:good fix,""validation""}"
https://github.com/spring-projects/spring-boot,daa3d457b71896a758995c264977bdd1414ee4d4,spring-boot-project/spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.reactive.CloudFoundryWebFluxEndpointIntegrationTests.linksToOtherEndpointsWithFullAccess,org.springframework.boot.actuate.autoconfigure.cloudfoundry.reactive.CloudFoundryWebFluxEndpointIntegrationTests.linksToOtherEndpointsForbidden,OD-Vic,,,,projects/daa3d457b71896a758995c264977bdd1414ee4d4/spring-boot/spring-boot-project/spring-boot-actuator-autoconfigure/src/test/java/org/springframework/boot/actuate/autoconfigure/cloudfoundry/reactive/CloudFoundryWebFluxEndpointIntegrationTests.java,projects/daa3d457b71896a758995c264977bdd1414ee4d4/spring-boot/spring-boot-project/spring-boot-actuator-autoconfigure/src/test/java/org/springframework/boot/actuate/autoconfigure/cloudfoundry/reactive/CloudFoundryWebFluxEndpointIntegrationTests.java,"{'1': {'answer': 'True', 'patch_path': '', 'res': ""['0:test failures', '1:BUILD FAILURE', '2:test failures', '3:BUILD FAILURE', '4:test failures', '5:BUILD FAILURE', 'summary:test_failures']"", 'log_path': '/home/azureuser/flaky/ood/OD80/89eacbf6cc8efb96aca334d93d790bb22e217d02/summaryRes.csv'}, '2': {'answer': 'True', 'patch_path': '', 'res': ""['0:test failures', '1:BUILD FAILURE', '2:test failures', '3:BUILD FAILURE', '4:test failures', '5:BUILD FAILURE', 'summary:test_failures']"", 'log_path': '/home/azureuser/flaky/ood/ODx3/b47e0c648bbb064844621e5b17a70aa2b0c5f982/summaryRes.csv'}}"
https://github.com/danfickle/openhtmltopdf,4a0612fab7b3a55e3e11d485233b063006d03b0f,openhtmltopdf-slf4j,com.openhtmltopdf.slf4j.Slf4JLoggerTest.testLogger,com.openhtmltopdf.slf4j.Slf4JLoggerTest.testLoggerWarnLevel,OD,,,,projects/4a0612fab7b3a55e3e11d485233b063006d03b0f/openhtmltopdf/openhtmltopdf-slf4j/src/test/java/com/openhtmltopdf/slf4j/Slf4JLoggerTest.java,projects/4a0612fab7b3a55e3e11d485233b063006d03b0f/openhtmltopdf/openhtmltopdf-slf4j/src/test/java/com/openhtmltopdf/slf4j/Slf4JLoggerTest.java,"{'1': {'answer': 'True', 'patch_path': '', 'res': ""['0:test failures', '1:test failures', '2:test failures', '3:test failures', '4:test failures', '5:test failures', 'summary:test_failures']"", 'log_path': '/home/azureuser/flaky/ood/OD80/aa76bbba105f08ab4107d01bebe2cbeaef4f197c/summaryRes.csv'}, '2': {'answer': 'True', 'patch_path': '', 'res': ""['0:test failures', '1:test failures', '2:test failures', '3:COMPILATION ERROR', '4:COMPILATION ERROR', '5:COMPILATION ERROR', 'summary:test_failures']"", 'log_path': '/home/azureuser/flaky/ood/OD80/89eacbf6cc8efb96aca334d93d790bb22e217d02/summaryRes.csv'}}"
